# Source: Wikipedia (List of Pro Football Hall of Fame inductees), CC BY-SA 4.0.
name,class,position,first_year_of_eligibility,teams
Paul Brown,1967,Coach/general manager,no,Cleveland Browns (AAFC/ NFL) (1946–1962); Cincinnati Bengals (1968–1975); Cincinnati Bengals (1968–1991)
Alex Wojciechowicz,1968,Center/linebacker Pre-Modern Era: Two-Way Performer,no,Detroit Lions (1938–1946); Philadelphia Eagles (1946–1950)
Art Donovan,1968,Defensive tackle,no,Baltimore Colts (1950 Colts folded) (1950); New York Yanks (1951); Dallas Texans (NFL) (1952); Baltimore Colts (1953–1961)
Charley Trippi,1968,Halfback,no,Chicago Cardinals (1947–1955)
Cliff Battles,1968,Halfback Pre-Modern Era: Two-Way Performer,no,Boston Braves/ Boston Redskins/ Washington Redskins (1932–1937)
Elroy (Crazylegs) Hirsch,1968,Halfback,no,Chicago Rockets (AAFC) (1946–1948); Los Angeles Rams (1949–1957)
Marion Motley,1968,Fullback,no,Cleveland Browns (AAFC/ NFL) (1946–1953); Pittsburgh Steelers (1955)
Wayne Millner,1968,End Pre-Modern Era: Two-Way Performer,no,"Boston/Washington Redskins (1936–1941, 1945); Boston/Washington Redskins (1945)"
"Albert Glen ""Turk"" Edwards",1969,Tackle Pre-Modern Era: Two-Way Performer,no,Boston Braves/ Boston Redskins/ Washington Redskins (1932–1940)
Ernie Stautner,1969,Defensive tackle,no,Pittsburgh Steelers (1950–1963)
Greasy Neale,1969,Coach,no,Philadelphia Eagles (1941–1950)
Joe Perry,1969,Fullback,no,"San Francisco 49ers (AAFC/NFL) (1948–1960, 1963); Baltimore Colts (1961–1962)"
Leo Nomellini,1969,Defensive tackle,no,San Francisco 49ers (1950–1963)
Hugh McElhenny,1970,Halfback,yes,San Francisco 49ers (1952–1960); Minnesota Vikings (1961–1962); New York Giants (1963); Detroit Lions (1964)
Jack Christiansen,1970,Safety/kick returner,no,Detroit Lions (1951–1958)
Pete Pihos,1970,End Pre-Modern Era: Two-Way Performer,no,Philadelphia Eagles (1947–1955)
Tom Fears,1970,Wide receiver,no,Los Angeles Rams (1948–1956)
Andy Robustelli,1971,Defensive end,no,Los Angeles Rams (1951–1955); New York Giants (1956–1964)
Bill Hewitt,1971,End Pre-Modern Era: Two-Way Performer,no,"Chicago Bears (1932–1936); Philadelphia Eagles (1937–1939, 1943)"
"Frank ""Bruiser"" Kinard",1971,Tackle Pre-Modern Era: Two-Way Performer,no,Brooklyn Dodgers/ Tigers (1938–1944); New York Yankees (AAFC) (1946–1947)
Jim Brown,1971,Fullback,yes,Cleveland Browns (1957–1965)
Norm Van Brocklin,1971,Quarterback,no,Los Angeles Rams (1949–1957); Philadelphia Eagles (1958–1960)
Vince Lombardi,1971,General manager,no,Green Bay Packers (1959–1968); Green Bay Packers (1959–1967); Washington Redskins (1969)
Y. A. Tittle,1971,Quarterback,no,Baltimore Colts (AAFC/ NFL) (1947–50 Colts folded) (1948–1950); San Francisco 49ers (1951–1960); New York Giants (1961–1964)
Ace Parker,1972,Quarterback Pre-Modern Era: Two-Way Performer,no,Brooklyn Dodgers (1937–1941); Yanks (1945); New York Yankees (AAFC) (1946)
Gino Marchetti,1972,Defensive end,yes,"Dallas Texans (NFL) (1952); Baltimore Colts (1953–1964, 1966)"
Lamar Hunt,1972,AFL co-founder,no,Dallas Texans (AFL)/ Kansas City Chiefs (1959–2006)
Ollie Matson,1972,Halfback,yes,"Chicago Cardinals (1952, 1954–1958); Los Angeles Rams (1959–1962); Detroit Lions (1963); Philadelphia Eagles (1964–1966)"
Jim Parker,1973,Guard/tackle,yes,Baltimore Colts (1957–1967)
Joe Schmidt,1973,Linebacker,no,Detroit Lions (1953–1965)
Raymond Berry,1973,Wide receiver,yes,Baltimore Colts (1955–1967)
Bill George,1974,Linebacker,no,Chicago Bears (1952–1965); Los Angeles Rams (1966)
"Dick ""Night Train"" Lane",1974,Cornerback,no,Los Angeles Rams (1952–1953); Chicago Cardinals (1954–1959); Detroit Lions (1960–1965)
Lou Groza,1974,Offensive tackle/kicker,no,"Cleveland Browns (AAFC/ NFL) (1946–1959, 1961–1967)"
Tony Canadeo,1974,Halfback Pre-Modern Era: Two-Way Performer,no,"Green Bay Packers (1941–1944, 1946–1952)"
Dante Lavelli,1975,Offensive end,no,Cleveland Browns (AAFC/ NFL) (1946–1956)
George Connor,1975,Linebacker,no,Chicago Bears (1948–1955)
Lenny Moore,1975,Halfback,no,Baltimore Colts (1956–1967)
Rosey Brown,1975,Offensive tackle,no,New York Giants (1953–1965)
Jim Taylor,1976,Fullback,no,Green Bay Packers (1958–1966); New Orleans Saints (1967)
Len Ford,1976,Defensive end,no,Los Angeles Dons (AAFC) (1948–1949); Cleveland Browns (1950–1957); Green Bay Packers (1958)
Ray Flaherty,1976,End Pre-Modern Era: Two-Way Performer,no,"New York Yankees (NFL) (1927–1928); New York Giants (1928–1929, 1931–1935); Boston/Washington Redskins (1936–1942); New York Yankees (AAFC) (1946–1948); Chicago Hornets (AAFC) (1949)"
Bart Starr,1977,Quarterback,yes,Green Bay Packers (1956–1971)
Bill Willis,1977,Defensive middle guard,no,Cleveland Browns (AAFC/ NFL) (1946–1953)
Forrest Gregg,1977,Offensive tackle/guard,yes,"Green Bay Packers (1956, 1958–1970); Dallas Cowboys (1971)"
Frank Gifford,1977,Halfback/flanker,no,"New York Giants (1952–1960, 1962–1964)"
Gale Sayers,1977,Halfback,yes,Chicago Bears (1965–1971)
"Alphonse ""Tuffy"" Leemans",1978,Halfback/fullback Pre-Modern Era: Two-Way Performer,no,New York Giants (1936–1943); New York Giants (1943)
Lance Alworth,1978,Wide receiver,yes,San Diego Chargers (1962–1970); Dallas Cowboys (1971–1972)
Larry Wilson,1978,Safety,yes,St. Louis Cardinals (1960–1972)
Ray Nitschke,1978,Middle linebacker,yes,Green Bay Packers (1958–1972)
Weeb Ewbank,1978,Coach,no,Baltimore Colts (1954–1962); New York Jets (1963–1973)
Dick Butkus,1979,Linebacker,yes,Chicago Bears (1965–1973)
Johnny Unitas,1979,Quarterback,yes,Baltimore Colts (1956–1972); San Diego Chargers (1973)
Ron Mix,1979,Offensive tackle,no,Los Angeles/San Diego Chargers (1960–1969); Oakland Raiders (1971)
Yale Lary,1979,Safety/punter,no,"Detroit Lions (1952–1953, 1956–1964)"
Bob Lilly,1980,Defensive tackle,yes,Dallas Cowboys (1961–1974)
Deacon Jones,1980,Defensive end,yes,Los Angeles Rams (1961–1971); San Diego Chargers (1972–1973); Washington Redskins (1974)
Herb Adderley,1980,Cornerback,no,Green Bay Packers (1961–1969); Dallas Cowboys (1970–1972)
Jim Otto,1980,Center,yes,Oakland Raiders (1960–1974)
George Blanda,1981,Quarterback/placekicker,yes,Chicago Bears (1949–1958); Baltimore Colts (1950 Colts folded) (1950); Houston Oilers (1960–1966); Oakland Raiders (1967–1975)
Jim Ringo,1981,Center,no,Green Bay Packers (1953–1963); Philadelphia Eagles (1964–1967)
Red Badgro,1981,End Pre-Modern Era: Two-Way Performer,no,New York Yankees (NFL) (1927–1928); New York Giants (1930–1935); Brooklyn Dodgers (1936)
Willie Davis,1981,Defensive end,no,Cleveland Browns (1958–1959); Green Bay Packers (1960–1969)
Doug Atkins,1982,Defensive end,no,Cleveland Browns (1953–1954); Chicago Bears (1955–1966); New Orleans Saints (1967–1969)
George Musso,1982,"Tackle, Guard Pre-Modern Era: Two-Way Performer",no,Chicago Bears (1933–1944)
Merlin Olsen,1982,Defensive tackle,yes,Los Angeles Rams (1962–1976)
Sam Huff,1982,Linebacker,no,"New York Giants (1956–1963); Washington Redskins (1964–1967, 1969)"
Bobby Bell,1983,Linebacker/defensive end,no,Kansas City Chiefs (1963–1974)
Bobby Mitchell,1983,Flanker/halfback/kickoff/punt returner,no,Cleveland Browns (1958–1961); Washington Redskins (1962–1968)
Paul Warfield,1983,Wide receiver,yes,"Cleveland Browns (1964–1969, 1976–1977); Miami Dolphins (1970–1974)"
Sid Gillman,1983,Coach,no,"Los Angeles Rams (1955–1959); Los Angeles/San Diego Chargers (1960–1969, 1971); Los Angeles/San Diego Chargers (1960–1970); Houston Oilers (1973–1974)"
Sonny Jurgensen,1983,Quarterback,no,Philadelphia Eagles (1957–1963); Washington Redskins (1964–1974)
Arnie Weinmeister,1984,Defensive tackle,no,New York Yankees (AAFC) (1948–1949); New York Giants (1950–1953)
Charley Taylor,1984,Wide receiver,no,"Washington Redskins (1964–1975, 1977)"
Mike McCormack,1984,Offensive tackle,no,New York Yanks (1951); Cleveland Browns (1954); Cleveland Browns (1955–1962)
Willie Brown,1984,Cornerback,yes,Denver Broncos (1963–1966); Oakland Raiders (1967–1978)
Frank Gatski,1985,Center,no,Cleveland Browns (AAFC/ NFL) (1946–1956); Detroit Lions (1957)
Joe Namath,1985,Quarterback,no,New York Jets (1965–1976); Los Angeles Rams (1977)
O. J. Simpson,1985,Running back,yes,Buffalo Bills (1969–1977); San Francisco 49ers (1978–1979)
Pete Rozelle,1985,General manager,no,Los Angeles Rams (1957–1959)
Roger Staubach,1985,Quarterback,yes,Dallas Cowboys (1969–1979)
Doak Walker,1986,Halfback/placekicker,no,Detroit Lions (1950–1955)
Fran Tarkenton,1986,Quarterback,no,"Minnesota Vikings (1961–1966, 1972–1978); New York Giants (1967–1971)"
Ken Houston,1986,Safety,yes,Houston Oilers (1967–1972); Washington Redskins (1973–1980)
Paul Hornung,1986,Halfback/placekicker,no,"Green Bay Packers (1957–1962, 1964–1966)"
Willie Lanier,1986,Middle linebacker,no,Kansas City Chiefs (1967–1977)
Don Maynard,1987,Wide receiver,no,New York Giants (1958); New York Titans/ Jets (AFL) (1960–1972); St. Louis Cardinals (1973)
Gene Upshaw,1987,Guard,yes,Oakland Raiders (1967–1981)
Jim Langer,1987,Center,yes,Miami Dolphins (1970–1979); Minnesota Vikings (1980–1981)
Joe Greene,1987,Defensive tackle,yes,Pittsburgh Steelers (1969–1981)
John Henry Johnson,1987,Fullback,no,San Francisco 49ers (1954–1956); Detroit Lions (1957–1959); Pittsburgh Steelers (1960–1965); Houston Oilers (1966)
Larry Csonka,1987,Fullback,no,"Miami Dolphins (1968–1974, 1979); New York Giants (1976–1978)"
Len Dawson,1987,Quarterback,no,Pittsburgh Steelers (1957–1959); Cleveland Browns (1960–1961); Dallas Texans (AFL)/ Kansas City Chiefs (1962–1975)
Alan Page,1988,Defensive tackle,no,Minnesota Vikings (1967–1978); Chicago Bears (1978–1981)
Fred Biletnikoff,1988,Wide receiver,no,Oakland Raiders (1965–1978)
Jack Ham,1988,Outside linebacker,yes,Pittsburgh Steelers (1971–1982)
Mike Ditka,1988,Tight end,no,Chicago Bears (1961–1966); Philadelphia Eagles (1967–1968); Dallas Cowboys (1969–1972)
Art Shell,1989,Offensive tackle,no,Oakland/ Los Angeles Raiders (1968–1982)
Mel Blount,1989,Cornerback,yes,Pittsburgh Steelers (1970–1983)
Terry Bradshaw,1989,Quarterback,yes,Pittsburgh Steelers (1970–1983)
Willie Wood,1989,Safety,no,Green Bay Packers (1960–1971)
Bob Griese,1990,Quarterback,no,Miami Dolphins (1967–1980)
Bob St. Clair,1990,Offensive tackle,no,San Francisco 49ers (1953–1963)
Buck Buchanan,1990,Defensive tackle,no,Kansas City Chiefs (1963–1975)
Franco Harris,1990,Running back,yes,Pittsburgh Steelers (1972–1983); Seattle Seahawks (1984)
Jack Lambert,1990,Middle linebacker,yes,Pittsburgh Steelers (1974–1984)
Ted Hendricks,1990,Linebacker,no,Baltimore Colts (1969–1973); Green Bay Packers (1974); Oakland/ Los Angeles Raiders (1975–1983)
Tom Landry,1990,Coach,yes,Dallas Cowboys (1960–1988)
Earl Campbell,1991,Running back,yes,Houston Oilers (1978–1984); New Orleans Saints (1984–1985)
Jan Stenerud,1991,Placekicker,yes,Kansas City Chiefs (1967–1979); Green Bay Packers (1980–1983); Minnesota Vikings (1984–1985)
John Hannah,1991,Guard,yes,New England Patriots (1973–1985)
Stan Jones,1991,Offensive tackle/guard,no,Chicago Bears (1954–1962); Chicago Bears (1962–1965); Washington Redskins (1966)
Tex Schramm,1991,Team administrator,no,Los Angeles Rams (1947–1956); Dallas Cowboys (1960–1989)
Al Davis,1992,Coach,no,Oakland Raiders (1963–1965); Oakland/ Los Angeles Raiders (1963–2011); Oakland/ Los Angeles Raiders (1966–2011)
John Mackey,1992,Tight end,no,Baltimore Colts (1963–1971); San Diego Chargers (1972)
John Riggins,1992,Running back,no,"New York Jets (1971–1975); Washington Redskins (1976–1979, 1981–1985)"
Lem Barney,1992,Cornerback,no,Detroit Lions (1967–1977)
Bill Walsh,1993,Coach,no,San Francisco 49ers (1979–1988)
Chuck Noll,1993,Coach,yes,Pittsburgh Steelers (1969–1991)
Dan Fouts,1993,Quarterback,yes,San Diego Chargers (1973–1987)
Larry Little,1993,Guard,no,San Diego Chargers (1967–1968); Miami Dolphins (1969–1980)
Walter Payton,1993,Running back,yes,Chicago Bears (1975–1987)
Bud Grant,1994,Coach,no,"Minnesota Vikings (1967–1983, 1985)"
Jackie Smith,1994,Tight end,no,St. Louis Cardinals (1963–1977); Dallas Cowboys (1978)
Jimmy Johnson,1994,Cornerback,no,San Francisco 49ers (1961–1976)
Leroy Kelly,1994,Running back,no,Cleveland Browns (1964–1973)
Randy White,1994,Defensive tackle,yes,Dallas Cowboys (1975–1988)
Tony Dorsett,1994,Running back,yes,Dallas Cowboys (1977–1987); Denver Broncos (1988)
Henry Jordan,1995,Defensive tackle,no,Cleveland Browns (1957–1958); Green Bay Packers (1959–1969)
Jim Finks,1995,Team administrator,no,Minnesota Vikings (1964–1973); Chicago Bears (1974–1982); New Orleans Saints (1986–1992)
Kellen Winslow,1995,Tight end,no,San Diego Chargers (1979–1987)
Lee Roy Selmon,1995,Defensive end,no,Tampa Bay Buccaneers (1976–1984)
Steve Largent,1995,Wide receiver,yes,Seattle Seahawks (1976–1989)
Charlie Joiner,1996,Wide receiver,no,Houston Oilers (1969–1972); Cincinnati Bengals (1972–1975); San Diego Chargers (1976–1986)
Dan Dierdorf,1996,Offensive tackle,no,St. Louis Cardinals (1971–1983)
Joe Gibbs,1996,Coach,no,"Washington Redskins (1981–1992, 2004–2007)"
Lou Creekmur,1996,Offensive tackle/guard,no,Detroit Lions (1950–1959)
Mel Renfro,1996,Safety/cornerback,no,Dallas Cowboys (1964–1977)
Don Shula,1997,Coach,yes,Baltimore Colts (1963–1969); Miami Dolphins (1970–1995)
Mike Haynes,1997,Cornerback,no,New England Patriots (1976–1982); Los Angeles Raiders (1983–1989)
Mike Webster,1997,Center,no,Pittsburgh Steelers (1974–1988); Kansas City Chiefs (1989–1990)
Wellington Mara,1997,Team owner/team administrator,no,New York Giants (1937–2005)
Anthony Muñoz,1998,Offensive tackle,yes,Cincinnati Bengals (1980–1992)
Dwight Stephenson,1998,Center,no,Miami Dolphins (1980–1987)
Mike Singletary,1998,Middle linebacker,yes,Chicago Bears (1981–1992)
Paul Krause,1998,Safety,no,Washington Redskins (1964–1967); Minnesota Vikings (1968–1979)
Tommy McDonald,1998,Wide receiver,no,Philadelphia Eagles (1957–1963); Dallas Cowboys (1964); Los Angeles Rams (1965–1966); Atlanta Falcons (1967); Cleveland Browns (1968)
Billy Shaw,1999,Guard,no,Buffalo Bills (AFL) (1961–1969)
Eric Dickerson,1999,Running back,yes,Los Angeles Rams (1983–1987); Indianapolis Colts (1987–1991); Los Angeles Raiders (1992); Atlanta Falcons (1993)
Lawrence Taylor,1999,Linebacker,yes,New York Giants (1981–1993)
Ozzie Newsome,1999,Tight end,no,Cleveland Browns (1978–1990)
Tom Mack,1999,Guard,no,Los Angeles Rams (1966–1978)
Dan Rooney,2000,Team owner,no,Pittsburgh Steelers (1955–2017); Pittsburgh Steelers (1955–2003)
Dave Wilcox,2000,Linebacker,no,San Francisco 49ers (1964–1974)
Howie Long,2000,Defensive end,no,Oakland/ Los Angeles Raiders (1981–1993)
Joe Montana,2000,Quarterback,yes,San Francisco 49ers (1979–1992); Kansas City Chiefs (1993–1994)
Ronnie Lott,2000,Cornerback/safety,yes,San Francisco 49ers (1981–1990); Los Angeles Raiders (1991–1992); New York Jets (1993–1994)
Jack Youngblood,2001,Defensive end,no,Los Angeles Rams (1971–1984)
Jackie Slater,2001,Offensive tackle,yes,Los Angeles/ St. Louis Rams (1976–1995)
Lynn Swann,2001,Wide receiver,no,Pittsburgh Steelers (1974–1982)
Marv Levy,2001,Coach,no,Kansas City Chiefs (1978–1982); Buffalo Bills (1986–1997)
Mike Munchak,2001,Guard,no,Houston Oilers (1982–1993)
Nick Buoniconti,2001,Linebacker,no,"Boston Patriots (1962–1968); Miami Dolphins (1969–1974, 1976)"
Ron Yary,2001,Offensive tackle,no,Minnesota Vikings (1968–1981); Los Angeles Rams (1982)
Dan Hampton,2002,Defensive tackle/end,no,Chicago Bears (1979–1990)
Dave Casper,2002,Tight end,no,"Oakland/ Los Angeles Raiders (1974–1980, 1984); Houston Oilers (1980–1983); Minnesota Vikings (1983)"
George Allen,2002,Coach,no,Los Angeles Rams (1966–1970); Washington Redskins (1971–1977)
Jim Kelly,2002,Quarterback,yes,Buffalo Bills (1986–1996)
John Stallworth,2002,Wide receiver,no,Pittsburgh Steelers (1974–1987)
Elvin Bethea,2003,Defensive end,no,Houston Oilers (1968–1983)
Hank Stram,2003,Coach,no,Dallas Texans (AFL)/ Kansas City Chiefs (1960–1974); New Orleans Saints (1976–1977)
James Lofton,2003,Wide receiver,no,Green Bay Packers (1978–1986); Los Angeles Raiders (1987–1988); Buffalo Bills (1989–1992); Los Angeles Rams (1993); Philadelphia Eagles (1993)
Joe DeLamielleure,2003,Guard,no,"Buffalo Bills (1973–1979, 1985); Cleveland Browns (1980–1984)"
Marcus Allen,2003,Running back,yes,Los Angeles Raiders (1982–1992); Kansas City Chiefs (1993–1997)
Barry Sanders,2004,Running back,yes,Detroit Lions (1989–1998)
Bob Brown,2004,Offensive tackle,no,Philadelphia Eagles (1964–1968); Los Angeles Rams (1969–1970); Oakland Raiders (1971–1973)
Carl Eller,2004,Defensive end,no,Minnesota Vikings (1964–1978); Seattle Seahawks (1979)
John Elway,2004,Quarterback,yes,Denver Broncos (1983–1998)
Benny Friedman,2005,Quarterback Pre-Modern Era: Two-Way Performer,no,Cleveland Bulldogs (1927); Detroit Wolverines (1928); New York Giants (1929–1931); Brooklyn Dodgers (1932–1934)
Dan Marino,2005,Quarterback,yes,Miami Dolphins (1983–1999)
Fritz Pollard,2005,Halfback Pre-Modern Era: Two-Way Performer,no,"Akron Pros/ Indians (1919 pre-NFL) (1919–1921, 1925–1926); Milwaukee Badgers (1922); Hammond Pros (1923, 1925); Providence Steam Roller (1925); Akron Pros (1921); Hammond Pros (1925)"
Steve Young,2005,Quarterback,yes,Tampa Bay Buccaneers (1985–1986); San Francisco 49ers (1987–1999)
Harry Carson,2006,Linebacker,no,New York Giants (1976–1988)
John Madden,2006,Coach,no,Oakland Raiders (1969–1978)
Rayfield Wright,2006,Offensive tackle,no,Dallas Cowboys (1967–1979)
Reggie White,2006,Defensive end/tackle,yes,Philadelphia Eagles (1985–1992); Green Bay Packers (1993–1998); Carolina Panthers (2000)
Troy Aikman,2006,Quarterback,yes,Dallas Cowboys (1989–2000)
Warren Moon,2006,Quarterback,yes,Houston Oilers (1984–1993); Minnesota Vikings (1994–1996); Seattle Seahawks (1997–1998); Kansas City Chiefs (1999–2000)
Bruce Matthews,2007,GuardCenterTackle,yes,Houston Oilers/ Tennessee Oilers/ Tennessee Titans (1983–2001)
Charlie Sanders,2007,Tight end,no,Detroit Lions (1968–1977)
Gene Hickerson,2007,Guard,no,Cleveland Browns (1958–1973)
Michael Irvin,2007,Wide receiver,no,Dallas Cowboys (1988–1999)
Roger Wehrli,2007,Cornerback,no,St. Louis Cardinals (1969–1982)
Thurman Thomas,2007,Running back,no,Buffalo Bills (1988–1999); Miami Dolphins (2000)
Andre Tippett,2008,Linebacker,no,New England Patriots (1982–1993)
Art Monk,2008,Wide receiver,no,Washington Redskins (1980–1993); New York Jets (1994); Philadelphia Eagles (1995)
Darrell Green,2008,Cornerback,yes,Washington Redskins (1983–2002)
Emmitt Thomas,2008,Cornerback,no,Kansas City Chiefs (1966–1978)
Fred Dean,2008,Defensive end,no,San Diego Chargers (1975–1981); San Francisco 49ers (1981–1985)
